Rank,Team,Seed,Conference,Calculated_Score,AdjEM,AdjO,AdjD,Barthag,Record,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,SOS,FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Exp,Elite_SOS,PPP_Off,PPP_Def,Strengths
12,Clemson,6,ACC,54.2,23.5,118.3,94.8,0.927,27-6,53.6,48.9,37.6,49.3,15.7,20.1,1.38,33.7,76.6,32.2,27.6,67,26.4,76.6,5,0.81,8,28,21,21,21,19,49.3,32.2,10.4,8.1,52.3,43.7,38.4,38.3,2.503,26.367,1.148,0.988,excellent 3-point shooting; creates lots of turnovers; strong free throw shooting; excellent recent form; star player who can take over games; elite defensive rebounding; strong power rating; excellent win percentage; proven against top competition; significant height advantage; veteran team with experience
13,Wisconsin,3,Big Ten,54.1,22.4,122.4,100,0.942,26-9,53.6,47.9,34.9,54.7,14.1,14.5,1.51,28,82.8,33.8,28.1,64,35.6,82.8,5,0.85,6,25,12,16,15,15,46.8,33,6.1,10.8,54.9,49.3,48.1,39.1,2.223,35.559,1.157,1.023,takes care of the ball; excellent ball movement; strong free throw shooting; excellent recent form; elite defensive rebounding; strong power rating; proven against top competition; significant height advantage
14,Kentucky,3,SEC,54.1,25.2,123.9,98.7,0.931,22-11,56,50.4,32.1,53.7,15.2,14,1.52,35.9,73,35.9,31,69,43.5,73.8,6,0.86,9,25,17,18,11,14,53.7,30.8,11.3,8,56.7,46.3,41.7,43.5,2.329,43.526,1.17,1.068,efficient shooting; excellent ball movement; excellent recent form; star player who can take over games; dominant offensive rebounding; strong power rating; proven against top competition; significant height advantage; veteran team with experience
15,UCLA,7,Big Ten,54,22.6,117.9,95.3,0.92,22-10,53,50.5,35.2,53.7,15.9,22.8,1.54,32.8,70.3,35.9,34.6,67,34.6,70.3,4,0.8,8,28,25,27,26,27,51.2,33.2,10.5,7,60.5,57.8,36,44.8,1.849,34.636,1.123,0.987,creates lots of turnovers; excellent ball movement; star player who can take over games; significant height advantage
16,Creighton,8,Big East,52.8,19.1,117.3,98.2,0.885,24-10,55.8,47,33.9,45.8,18.1,11.7,1.38,26.9,83.1,28.5,16.9,66,31.6,73.3,3,0.8,8,25,33,33,33,31,45.8,32.7,10.7,10.9,63.4,43.3,49,35.2,1.954,31.577,1.105,1.021,efficient shooting; star player who can take over games; elite defensive rebounding; significant height advantage
17,Alabama,2,SEC,52.4,31.2,127.6,96.4,0.962,25-8,56.3,47.9,35,59.7,16.7,13.5,1.31,34.7,72.5,29.2,33.9,74,46.5,71.6,10,0.91,10,30,5,5,5,6,48.8,30.8,10.1,12.2,54.1,43.8,46.2,35.1,1.819,46.471,1.187,1.06,efficient shooting; excellent recent form; star player who can take over games; strong power rating; plays at a fast pace; excellent win percentage; proven against top competition; significant height advantage
18,Mississippi,5,SEC,52,17,117.4,100.4,0.9,22-11,51.3,50.6,33.3,48.3,12.8,20.5,1.59,25.4,76.2,34,29.2,70,41.3,73.8,4,0.77,7,35,28,28,28,30,51.6,32.7,12.4,11.2,53.5,58.3,40.2,44,2.701,41.324,1.105,1.027,takes care of the ball; creates lots of turnovers; excellent ball movement; elite defensive rebounding; veteran team with experience
19,Mississippi St.,8,SEC,52,19.6,118.3,98.8,0.889,21-12,51.7,51.9,33.3,51.5,15.1,19,1.44,34.1,74.6,31.6,35.4,65,38.3,70,2,0.79,6,33,32,32,32,32,50.1,36.1,14.3,8.6,53.3,53.2,42.3,44.2,2.053,38.324,1.131,1.052,elite shot blocking
20,Oregon,6,Big Ten,51.7,17.8,115.1,97.3,0.874,24-9,52.2,49.1,34,50,16.2,17.6,1.29,29.6,73.4,33.4,27.7,68,36,76.3,5,0.78,8,32,38,25,24,26,50,31.7,10.1,8.8,54.4,50.3,38.6,37.4,2.452,35.999,1.099,1.023,strong free throw shooting; star player who can take over games; proven against top competition; significant height advantage; veteran team with experience
21,Arkansas,10,SEC,51.7,16.5,111.9,95.4,0.862,20-13,52.7,48.3,33.3,49.5,15.6,17.5,1.24,35.5,70.6,35.5,39.9,71,36.6,73.4,3,0.78,8,35,41,40,38,41,48.5,31.9,15.4,7.1,53.2,48.6,36.7,39.5,1.364,36.561,1.083,1.006,star player who can take over games; dominant offensive rebounding; plays at a fast pace; elite shot blocking; significant height advantage
22,Texas Tech,3,Big 12,50.6,29.3,126,96.7,0.955,25-8,55.5,48,37.9,54.3,14.8,17.4,1.63,34.3,71.5,28.5,33.5,66,35.2,76.4,6,0.92,7,34,7,7,6,9,48.2,31.7,8.1,8,58.5,45,44.6,34.1,1.972,35.224,1.2,1.002,excellent 3-point shooting; efficient shooting; takes care of the ball; excellent ball movement; strong free throw shooting; excellent recent form; strong power rating; excellent win percentage; proven against top competition
23,St. John's,2,Big East,50.4,25.4,118.6,93.2,0.936,30-4,51.7,48.8,34.3,49.9,13.5,16,1.43,33.8,70.5,31.9,33.7,72,27.9,68.9,8,0.88,8,33,15,12,8,15,45.8,31.8,15.1,8.3,53.7,55.9,30.3,40.8,2.12,27.94,1.102,0.922,takes care of the ball; excellent recent form; star player who can take over games; strong power rating; plays at a fast pace; elite shot blocking; excellent win percentage; proven against top competition
24,Purdue,4,Big Ten,50.2,25,125,100,0.929,22-11,56.3,52,30.7,55.5,15.6,17.8,1.54,31,73.4,34.6,28.1,64,38.5,73,7,0.87,10,25,18,18,19,13,56.4,30.7,5.3,8.8,57.7,58,38.1,42.7,1.484,38.46,1.17,1.068,efficient shooting; excellent ball movement; excellent recent form; star player who can take over games; strong power rating; proven against top competition
25,Illinois,5,Big Ten,49.7,13.7,122.2,98.5,0.923,21-12,52.3,47.3,34.7,49,15.8,12.7,1.3,28.9,73.2,34.6,26.8,70,39.3,75.9,4,0.74,8,30,23,23,17,22,46.1,33.3,9.1,8.8,51.9,45.8,46.9,30.4,1.177,39.298,1.15,1.023,strong free throw shooting; star player who can take over games; strong power rating; significant height advantage
26,BYU,5,Big 12,49.5,13.7,125.4,99.1,0.938,24-9,57.2,50.6,37.1,58.6,17.6,17.2,1.42,33.3,73.9,30.2,29.5,71,35.2,70.5,3,0.75,7,34,14,14,25,31,49.3,34.8,9.8,8.5,59.9,52.2,48.3,44.4,1.889,35.191,1.173,1.027,excellent 3-point shooting; efficient shooting; strong power rating; plays at a fast pace
27,VCU,10,Atlantic 10,49,20.2,116.2,96,0.9,27-6,52.4,44.4,33.5,54.2,16.8,20.6,1.33,36.7,70,30,36.1,68,16.4,74.5,2,0.8,6,34,29,31,94,95,43.6,30.6,15.6,7.7,56.5,46.1,47.4,35.3,2.233,16.375,1.146,0.938,strong defensive field goal percentage; creates lots of turnovers; dominant offensive rebounding; elite shot blocking; excellent win percentage; significant height advantage
28,San Diego St.,11,Mountain West,48.6,14.8,111.2,96.4,0.839,20-9,53.9,50.6,33.9,45.8,16,17.6,1.28,26.4,75,33.2,28.1,66,27.6,66.7,2,0.8,8,32,46,54,54,49,45,30.4,18.6,8.7,50.9,50.1,39.4,47.3,1.611,27.647,1.048,0.962,star player who can take over games; elite shot blocking; significant height advantage
29,Texas A&M,4,SEC,48.4,18.5,117.8,99.3,0.924,22-10,52.7,48.6,33.4,50.7,18.6,14.4,1.3,31,73.8,32.2,27.6,68,40,69.5,7,0.83,5,32,22,22,22,16,46.5,33.4,13.9,14.8,47.7,64.8,37.6,47,2.764,39.956,1.093,0.999,excellent recent form; strong power rating; elite shot blocking; proven against top competition; veteran team with experience
30,Gonzaga,7,WCC,47.3,26.9,123.3,96.4,0.944,25-8,55.7,47.5,37.7,57.8,13.2,18.2,2.09,32.7,73.6,32.7,28.6,73,26.1,80.1,4,0.88,8,25,11,8,4,8,49.1,30.2,8.3,8.1,61.9,48.5,33.5,40.6,2.522,26.112,1.215,0.977,excellent 3-point shooting; efficient shooting; takes care of the ball; excellent ball movement; strong free throw shooting; excellent recent form; star player who can take over games; strong power rating; plays at a fast pace; excellent win percentage; veteran team with experience
31,Texas,11,SEC,47.3,16.5,116.7,100.2,0.852,19-15,52.5,48.4,36,48.2,14.3,16.6,1.3,29.8,69.5,29.8,39.3,68,37.2,74.9,1,0.76,9,30,45,48,50,44,47.5,33.3,11.7,8.2,47.5,48.3,35.4,36.2,2.185,37.234,1.13,1.04,takes care of the ball; star player who can take over games
32,Missouri,6,SEC,47.2,15.2,127,100.8,0.934,22-11,56.2,50.7,37,51.1,15.2,20,1.27,33.7,53.2,46.8,35.3,72,36.4,72.5,3,0.75,7,33,16,16,32,46,51.1,33.4,7.5,10.5,49.5,48.3,41.5,38.2,2.197,36.393,1.203,1.052,excellent 3-point shooting; efficient shooting; strong power rating; plays at a fast pace; significant height advantage
33,Drake,12,Missouri Valley,46.8,14,112.5,98.5,0.823,28-3,53.8,51.7,35,54.3,18.6,22.1,1.58,36,89,43,35.8,66,12.6,70.7,3,0.8,9,25,48,58,100,100,54.3,31.8,8.5,7.7,54.2,48,36.8,39.1,2.226,12.625,1.132,0.984,creates lots of turnovers; excellent ball movement; star player who can take over games; elite defensive rebounding; dominant offensive rebounding; excellent win percentage
34,Baylor,9,Big 12,46,20.8,120.5,99.7,0.903,18-14,51.5,51.2,34.9,54.3,16.1,18.8,1.33,35.6,70.1,33.5,33.5,69,43,74.6,3,0.84,8,30,27,30,24,10,49.8,35.4,8.3,11,53.5,59.9,40.2,40.8,1.871,42.981,1.132,1.044,excellent recent form; star player who can take over games; dominant offensive rebounding
35,Xavier,11,Big East,45.9,18.5,116.3,97.8,0.88,21-11,53.9,50.6,33.9,51.3,16,17.6,1.51,25.2,74.8,25.2,28.1,70,28.8,79.4,1,0.77,8,28,36,37,52,42,50.5,33.9,7.2,11.3,63.9,56,37.4,37.2,2.524,28.812,1.115,1.013,excellent ball movement; strong free throw shooting; star player who can take over games; veteran team with experience
36,Louisville,7,ACC,45.6,14.6,118.3,103.7,0.929,27-7,53.4,49.2,33,48.3,16.5,18.6,1.22,32.2,73.4,34.5,26.8,68,30,74.4,2,0.72,7,34,19,24,45,24,48.3,33.7,8.1,9.7,51.9,46.6,48.1,39.7,2.555,29.98,1.135,0.995,strong power rating; excellent win percentage; significant height advantage; veteran team with experience
37,Connecticut,8,Big East,45.2,19.6,121.6,102,0.883,23-10,55.5,48.3,35.4,46,17.1,15.5,1.57,35.6,68.1,35.6,40,68,30.1,79.1,2,0.82,8,32,34,35,29,33,46,35.1,17.9,8.9,64,44.2,42.6,34.2,1.638,30.085,1.182,1.039,efficient shooting; excellent ball movement; strong free throw shooting; excellent recent form; star player who can take over games; dominant offensive rebounding; elite shot blocking
38,Marquette,7,Big East,44.9,18,116.7,98.5,0.898,23-10,52,49.9,32.5,54.9,13.5,11.7,1.48,30.1,72.8,26.1,30.2,70,34.2,72.3,4,0.81,9,30,31,31,31,27,51.3,31.8,10.9,8.7,49.5,60.1,46.3,39.8,2.084,34.207,1.12,0.999,takes care of the ball; excellent recent form; star player who can take over games
39,Oklahoma,9,SEC,44.8,16.8,117.7,100.9,0.855,20-13,54.9,51.1,37,51.1,17.3,18.1,1.43,31.8,68.3,39.6,35.8,66,39.4,79.4,2,0.75,6,32,43,42,47,41,54.9,30.5,6.8,10.4,52,47.3,41.9,41.9,2.256,39.435,1.126,1.069,excellent 3-point shooting; strong free throw shooting
40,Saint Mary's,8,WCC,44.7,15,115,100,0.922,27-5,50.9,46,32.6,52.3,16,16.6,1.59,24.9,75.1,31.4,25,60,22.7,69.5,4,0.8,8,25,24,21,24,29,45.8,31.2,10.4,7.2,57.1,54.1,33.4,31.3,1.982,22.682,1.147,0.96,excellent ball movement; star player who can take over games; elite defensive rebounding; strong power rating; excellent win percentage; significant height advantage
41,Georgia,9,SEC,43.7,10.1,115.9,105.8,0.9,20-12,52.5,50.8,33.5,47.8,15.6,18,1.27,36.4,64.2,35.8,39.9,70,37.8,71.7,1,0.7,6,35,30,33,46,46,47.8,30.9,14.7,9.3,47.6,48.8,36.8,40.6,1.393,37.778,1.103,1.011,dominant offensive rebounding; elite shot blocking; significant height advantage
42,North Carolina,9,ACC,43.5,19,118.8,99.8,0.881,22-13,54.2,49.6,35.3,49.2,15.1,15.2,1.47,29.2,72.9,34.8,30,71,35.2,73.7,3,0.81,8,29,35,35,29,31,49.2,33.5,9.7,10.5,51,47.5,37,37.9,1.623,35.154,1.134,1.052,excellent recent form; star player who can take over games; plays at a fast pace
43,Vanderbilt,11,SEC,43.1,17.4,118.6,101.2,0.862,20-12,51.7,52.9,34,48.8,14.7,15.5,1.34,32.2,71,34,39,67,36,74.7,3,0.68,7,28,40,42,60,41,51.5,36.9,11.4,11.4,50.1,47.3,40.2,37.5,1.973,35.986,1.13,1.061,takes care of the ball
44,Colorado St.,12,Mountain West,42.6,18.3,116.9,98.6,0.876,25-9,55.8,48.5,33.1,47.7,17.4,16.7,1.43,26.4,74.7,31.8,33.6,70,22.9,77.5,0,0.74,8,30,37,38,68,49,47.7,33.1,8,8.1,62.8,47.2,42.8,37.9,2.033,22.886,1.122,1,efficient shooting; strong free throw shooting; star player who can take over games
45,Yale,13,Ivy League,42.6,10.2,113.9,103.7,0.746,21-7,54.8,48.8,38.5,47.3,14.4,16.1,1.58,33.2,77.7,31.8,28.7,68,11.6,73.6,1,0.8,8,32,51,79,82,82,47.3,33.7,11.8,7.6,53.4,58.8,32,48,1.876,11.606,1.178,1.026,excellent 3-point shooting; takes care of the ball; excellent ball movement; star player who can take over games; elite defensive rebounding
46,Liberty,12,Conference USA,40.9,14.6,112.8,98.2,0.831,25-6,58.4,45.9,28,48,15.3,16.9,1.58,18.9,73.7,30.9,26.3,63,13.4,65.4,2,0.81,7,30,47,60,120,120,48,28,7.8,9.1,61.2,39.4,47.7,34.4,2.265,13.412,1.115,0.971,efficient shooting; strong defensive field goal percentage; excellent ball movement; excellent recent form; excellent win percentage
47,UC San Diego,11,Big West,40.5,16.5,113.5,97,0.859,28-4,55.4,47.7,36.5,46.2,13.4,23.3,1.69,25.6,71.6,33.8,29.8,68,12.1,74.6,0,0.7,6,36,42,44,121,121,46.2,33.1,7.5,10.1,57.3,51.8,49.6,44.3,2.447,12.106,1.164,0.939,excellent 3-point shooting; efficient shooting; takes care of the ball; creates lots of turnovers; excellent ball movement; excellent win percentage; veteran team with experience
48,Memphis,9,American,40.5,12.9,111.7,98.8,0.806,29-5,53.6,48.5,38,52,19.2,19.1,1.18,35.1,70.9,33.6,30.2,73,23,70.2,3,0.82,8,30,49,61,63,61,48.6,32.2,13.1,9.4,52,54.1,33.1,40.7,2.425,23.012,1.112,1.016,excellent 3-point shooting; excellent recent form; star player who can take over games; dominant offensive rebounding; plays at a fast pace; elite shot blocking; excellent win percentage; veteran team with experience
49,Grand Canyon,13,WAC,38.6,8.5,108.5,100,0.732,25-7,51.2,47,32.6,54.3,18.4,19.1,1.42,32.5,67.8,43.9,32.2,70,10.4,73.5,0,0.75,7,33,52,83,88,93,46.4,32.1,13,8.7,52.1,48.4,33.6,34.4,2.47,10.398,1.077,0.956,excellent win percentage; veteran team with experience
50,New Mexico,10,Mountain West,38.5,8.5,110.9,102.4,0.867,25-7,51.5,50.1,31.3,53.9,17.6,18.2,1.28,37.8,63,33.6,35.4,72,24.4,68.4,2,0.72,8,30,39,40,40,42,48.2,33.8,14.3,9.5,51.5,59.5,32.2,38.3,2.047,24.388,1.089,0.964,star player who can take over games; dominant offensive rebounding; plays at a fast pace; elite shot blocking; excellent win percentage; significant height advantage
51,Akron,13,MAC,38.3,6.9,113.7,106.8,0.672,26-6,55.4,49.5,36.6,50.6,16.6,17.2,1.46,33.3,82.8,26.8,33.7,65,9.8,74.9,1,0.73,8,30,54,91,104,104,50.6,31.9,9.8,7,58.5,44.7,45.4,38,2.383,9.759,1.156,1.045,excellent 3-point shooting; efficient shooting; star player who can take over games; elite defensive rebounding; excellent win percentage; veteran team with experience
52,Utah St.,10,Mountain West,37.9,17.4,122.6,105.2,0.853,25-7,56,51.8,33.8,52.6,16,20.2,1.59,34.6,63.8,37.6,36.2,69,23,70.2,1,0.77,6,32,44,49,73,89,52.6,33.8,9.4,9.5,61.1,58.4,42.3,44.4,2.077,23.021,1.185,1.047,efficient shooting; creates lots of turnovers; excellent ball movement; excellent win percentage
53,Bryant,15,America East,37.8,0,105.8,105.8,0.511,21-11,53.3,49.7,35.3,49,14.6,16.3,1.18,34,75.7,37.6,30,75,9.3,71.8,0,0.5,6,30,61,141,140,141,47.3,32.2,14.8,5.7,48.7,42.9,34.8,36,2.502,9.31,1.095,1.015,takes care of the ball; elite defensive rebounding; plays at a fast pace; elite shot blocking; veteran team with experience
54,Lipscomb,14,ASUN,37.1,6,110.7,104,0.672,23-9,55.9,48.6,36.7,49.9,14.4,15.9,1.49,24,73.5,34,22.3,70,11.7,79.6,0,0.71,6,34,55,84,97,97,49.9,31,7.7,10.1,54.4,39.5,47.4,37.2,2.583,11.694,1.15,1.003,excellent 3-point shooting; efficient shooting; takes care of the ball; strong free throw shooting; veteran team with experience
55,Robert Morris,15,Horizon League,36.4,6.5,105.9,99.4,0.524,25-8,51.3,50.3,34.9,50.7,18.5,18.8,1.25,35.3,70.8,30,28.7,66,8.2,72,0,0.6,5,35,59,139,148,148,49.8,34.2,11.9,9.4,60.7,51.4,36.8,35.6,1.898,8.247,1.098,1.016,dominant offensive rebounding; excellent win percentage
56,McNeese,12,Southland,33.6,6.6,113.4,106.8,0.796,25-6,53.3,47.5,35.6,46.9,16.2,21.6,1.25,34.7,68.4,35.7,31.4,72,12.8,70.7,1,0.7,6,35,50,63,300,300,46.9,32.2,11.8,8.8,50.1,55,36.7,46.6,2.515,12.768,1.144,0.974,creates lots of turnovers; plays at a fast pace; excellent win percentage; veteran team with experience
57,Troy,14,Sun Belt,32.1,3.5,110.7,107.2,0.661,21-10,48.6,50.7,31,50,18.6,22.1,1.37,26.5,68.2,31.1,35.3,68,14.1,72.6,0,0.68,5,36,56,99,98,98,46.2,32.6,12.8,10.3,55.6,51,44.8,38.1,1.661,14.121,1.084,0.988,creates lots of turnovers
58,UNC Wilmington,14,Coastal Athletic,31.7,5.4,112.2,106.8,0.639,25-7,52.2,50.9,33.1,47.7,16,17.4,1.36,35.4,68.2,31.8,33.6,68,8.7,75.3,0,0.7,6,34,57,102,86,109,50.4,34.4,10.6,9.5,54.4,48.3,36.2,42.6,2.555,8.683,1.146,1.045,strong free throw shooting; dominant offensive rebounding; excellent win percentage; veteran team with experience
59,Wofford,15,Southern,30.4,1.8,111.5,109.7,0.547,17-15,53.3,51.8,36.9,50,16.9,14.9,1.3,35.5,66.7,35.5,27.6,68,12.7,66.8,0,0.62,7,32,60,131,156,145,51.8,34.5,8.8,9.7,55,49.3,47.7,45.8,2.088,12.682,1.128,1.086,excellent 3-point shooting; dominant offensive rebounding
60,Norfolk St.,16,MEAC,30.3,0.5,106.2,105.7,0.425,21-10,52.4,49.7,38.5,47.3,18.3,16.4,1.19,33.8,72.9,39,34.9,70,12,75.3,0,0.6,7,34,63,195,114,195,48.9,33.9,9,9.3,49.3,59.2,27.7,42.7,2.602,12.001,1.103,1.046,excellent 3-point shooting; strong free throw shooting; veteran team with experience
61,American,16,Patriot League,28.7,-5.1,101.2,106.3,0.335,20-12,51.8,52.1,35.8,53.4,16.8,17.6,1.14,23.8,74.6,25.4,31.4,64,8.8,75.9,0,0.52,5,35,64,244,164,226,53.1,33.6,5.3,9.5,52.1,50.4,44.8,35.7,2.039,8.755,1.045,1.052,strong free throw shooting
62,SIU Edwardsville,16,Ohio Valley,28.5,-10.8,101.5,112.3,0.38,19-11,51,52.5,34.5,47.8,18.3,16.6,1.17,25.4,73.8,35.7,31.1,72,8.2,67.9,0,0.48,5,36,65,218,155,216,46.3,33,11.5,8,51.4,48.7,36.3,38.6,2.225,8.164,1.043,1.004,plays at a fast pace
63,High Point,13,Big South,28.3,6.6,117.7,111.1,0.726,27-5,56.4,49.1,33.8,48.9,15.3,16.5,1.24,34,63.7,37.6,36.3,75,7,76.4,0,0.72,6,36,53,85,83,85,48.9,32.9,7.2,8,44.9,43.1,39,36,2.445,6.978,1.211,1.045,efficient shooting; strong free throw shooting; plays at a fast pace; excellent win percentage; veteran team with experience
64,Omaha,15,Summit League,28,-0.2,112.2,112.4,0.596,20-12,53.5,53.1,35.1,53.5,15.7,14.9,1.23,29.2,73.5,36.4,37.7,72,13,73.3,0,0.45,5,36,62,142,132,133,53.5,35.1,7.3,8.3,49.5,51.5,38.6,44.5,2.432,13.045,1.126,1.1,plays at a fast pace; veteran team with experience
65,Mount St. Mary's,16,MAAC,27.4,-12.5,99.4,111.9,0.29,21-12,51,48,34.9,47.2,21.7,15.9,1.15,25.4,74,31,26.7,62,8.9,73,0,0.45,6,32,66,263,200,226,48.7,31.4,7.9,9.5,60.6,52.3,41,44.5,2.013,8.934,1.014,1.022,
66,Montana,14,Big Sky,27,3,112,109,0.578,22-9,56.4,52.2,33.7,53.1,16.2,15.5,1.2,22.6,68.1,36.2,31.9,66,15.1,74.6,1,0.65,5,35,58,131,142,142,53.1,33.7,8.1,8.5,49.3,45.6,36.8,35,2.148,15.101,1.114,1.102,efficient shooting
67,Saint Francis,16,Northeast,24,-12.1,99.9,112,0.211,13-17,51.6,53.4,35.8,53.1,19.6,16.4,0.95,25.4,74.6,23.8,28.7,72,12.8,72.5,0,0.42,5,34,68,301,340,297,53.4,32.3,6.7,9.3,50.3,51,41.9,43.2,1.173,12.764,1.001,1.081,plays at a fast pace
68,Alabama St.,16,SWAC,23,-19.3,100.6,119.9,0.27,18-15,50.8,56.9,32.5,46.8,18,18.3,1.25,23.3,76.7,22.2,31.4,70,11.6,69.8,0,0.4,5,36,67,274,274,274,50.4,33.4,8.4,9.1,45.4,50.3,42.9,39.5,2.346,11.608,1.041,1.046,elite defensive rebounding; veteran team with experience
